Duplicate : 我們  map[key]= we  value= us
Duplicate : 未來  map[key]= coming  value= future
Duplicate : 沒有  map[key]= no  value= none
Duplicate : 工作  map[key]= work  value= worked
Duplicate : 發送  map[key]= send  value= sent
Duplicate : 驚  map[key]= scared  value= surprise
Duplicate : 看著  map[key]= looked  value= watching
Duplicate : 保持  map[key]= keep  value= kept
Duplicate : 直到  map[key]= until  value= till
Duplicate : 資訊  map[key]= news  value= information
Duplicate : 再  map[key]= anymore  value= longer
Duplicate : 開始  map[key]= start  value= starting
Duplicate : 整個  map[key]= whole  value= entire
Duplicate : 冷靜  map[key]= cool  value= calm
Duplicate : 抓  map[key]= catch  value= caught
Duplicate : 小  map[key]= little  value= small
Duplicate : 將  map[key]= would  value= shall
Duplicate : 希望  map[key]= hope  value= hoping
Duplicate : 法案  map[key]= act  value= bill
Duplicate : 決定  map[key]= decided  value= decision
Duplicate : 聲音  map[key]= sound  value= voice
Duplicate : 值得  map[key]= worth  value= deserve
Duplicate : 完  map[key]= finish  value= finished
Duplicate : 嗯  map[key]= hmm  value= mmm
Duplicate : 花費  map[key]= took  value= spent
Duplicate : 監獄  map[key]= jail  value= prison
Duplicate : 保持  map[key]= keep  value= holding
Duplicate : 近  map[key]= close  value= near
Duplicate : 保持  map[key]= keep  value= keeping
Duplicate : 現在  map[key]= now  value= present
Duplicate : 媽媽  map[key]= mom  value= mommy
Duplicate : 站  map[key]= stand  value= station
Duplicate : 保存  map[key]= save  value= saved
Duplicate : 談話  map[key]= talk  value= conversation
Duplicate : 媽媽  map[key]= mom  value= mama
Duplicate : 快  map[key]= fast  value= quick
Duplicate : 可愛  map[key]= cute  value= lovely
Duplicate : 安全  map[key]= safe  value= security
Duplicate : 聽  map[key]= listen  value= listening
Duplicate : 走  map[key]= walk  value= walked
Duplicate : 戰鬥  map[key]= fight  value= fighting
Duplicate : 喜愛  map[key]= loved  value= favorite
Duplicate : 承諾  map[key]= promise  value= promised
Duplicate : 麻煩  map[key]= trouble  value= bother
Duplicate : 謀殺  map[key]= murder  value= killing
Duplicate : 前  map[key]= before  value= earlier
Duplicate : 開始  map[key]= start  value= beginning
Duplicate : 前  map[key]= before  value= ex
Duplicate : 警察  map[key]= police  value= cop
Duplicate : 知道  map[key]= know  value= learned
Duplicate : 可怕  map[key]= terrible  value= horrible
Duplicate : 可怕  map[key]= terrible  value= awful
Duplicate : 掛  map[key]= hang  value= hanging
Duplicate : 似乎  map[key]= seem  value= apparently
Duplicate : 決定  map[key]= decided  value= decide
Duplicate : 似乎  map[key]= seem  value= seemed
Duplicate : 實現  map[key]= realize  value= realized
Duplicate : 菲利普  map[key]= phillip  value= philip
Duplicate : 閱讀  map[key]= read  value= reading
Duplicate : 是的  map[key]= yes  value= yep
Duplicate : 呃  map[key]= uh  value= er
Duplicate : 啊  map[key]= ah  value= eh
Duplicate : 豐富  map[key]= rich  value= plenty
Duplicate : 誰  map[key]= who  value= whose
Duplicate : 寫  map[key]= write  value= wrote
Duplicate : 機會  map[key]= chance  value= opportunity
Duplicate : 危險  map[key]= dangerous  value= danger
Duplicate : 吃  map[key]= eat  value= eating
Duplicate : 證明  map[key]= prove  value= proof
Duplicate : 事業  map[key]= cause  value= career
Duplicate : 完美  map[key]= perfect  value= perfectly
Duplicate : 拉  map[key]= pull  value= pulled
Duplicate : 開始  map[key]= start  value= begin
Duplicate : 雖然  map[key]= though  value= although
Duplicate : 注意  map[key]= attention  value= noticed
Duplicate : 把  map[key]= putting  value= bringing
Duplicate : 注意  map[key]= attention  value= note
Duplicate : 突然  map[key]= suddenly  value= sudden
Duplicate : 腳  map[key]= feet  value= foot
Duplicate : 發現  map[key]= find  value= finding
Duplicate : 偷  map[key]= stole  value= steal
Duplicate : 店  map[key]= store  value= shop
Duplicate : 選擇  map[key]= choice  value= choose
Duplicate : 下降  map[key]= fall  value= dropped
Duplicate : 屁股  map[key]= ass  value= butt
Duplicate : 明顯  map[key]= obviously  value= obvious
Duplicate : 同意  map[key]= agree  value= agreed
Duplicate : 再見  map[key]= bye  value= goodbye
Duplicate : 總  map[key]= always  value= total
Duplicate : 哭  map[key]= cry  value= crying
Duplicate : 夥伴  map[key]= buddy  value= partner
Duplicate : 土地  map[key]= earth  value= land
Duplicate : 先生  map[key]= sir  value= mister
Duplicate : 誰  map[key]= who  value= whoever
Duplicate : 破壞  map[key]= destroy  value= breaking
Duplicate : 關閉  map[key]= shut  value= closed
Duplicate : 現場  map[key]= scene  value= spot
Duplicate : 假設  map[key]= suppose  value= assume
Duplicate : 法律  map[key]= law  value= legal
Duplicate : 啊  map[key]= ah  value= ugh
Duplicate : 真  map[key]= really  value= truly
Duplicate : 扔  map[key]= throw  value= threw
Duplicate : 現場  map[key]= scene  value= field
Duplicate : 答案  map[key]= answer  value= answers
Duplicate : 允許  map[key]= allow  value= allowed
Duplicate : 應該  map[key]= should  value= ought
Duplicate : 瘋  map[key]= crazy  value= insane
Duplicate : 演出  map[key]= show  value= shows
Duplicate : 處理  map[key]= handle  value= dealing
Duplicate : 包  map[key]= bag  value= pack
Duplicate : 意思  map[key]= meant  value= meaning
Duplicate : 船  map[key]= boat  value= ship
Duplicate : 朋友  map[key]= friend  value= pal
Duplicate : 期待  map[key]= expect  value= expecting
Duplicate : 通過  map[key]= through  value= passed
Duplicate : 外  map[key]= outside  value= beyond
Duplicate : 保持  map[key]= keep  value= held
Duplicate : 開始  map[key]= start  value= starts
Duplicate : 混蛋  map[key]= bastard  value= jerk
Duplicate : 秘密  map[key]= secret  value= secrets
Duplicate : 測試  map[key]= test  value= tests
Duplicate : 計劃  map[key]= plan  value= planned
Duplicate : 名字  map[key]= name  value= names
Duplicate : 問題  map[key]= problem  value= issue
Duplicate : 最後  map[key]= last  value= final
Duplicate : 美國  map[key]= american  value= america
Duplicate : 相信  map[key]= believe  value= believed
Duplicate : 研究  map[key]= study  value= research
Duplicate : 最大  map[key]= max  value= biggest
Duplicate : 某處  map[key]= somewhere  value= someplace
Duplicate : 遺憾  map[key]= sorry  value= regret
Duplicate : 錯誤  map[key]= mistake  value= mistakes
Duplicate : 結束  map[key]= end  value= ended
Duplicate : 老  map[key]= old  value= older
Duplicate : 顯示  map[key]= showed  value= showing
Duplicate : 破壞  map[key]= destroy  value= damage
Duplicate : 住  map[key]= lived  value= stayed
Duplicate : 檢查  map[key]= checked  value= checking
Duplicate : 頭  map[key]= head  value= heads
Duplicate : 恨  map[key]= hate  value= hated
Duplicate : 準備  map[key]= ready  value= prepared
Duplicate : 教  map[key]= teach  value= taught
Duplicate : 聖  map[key]= st.  value= holy
Duplicate : 相信  map[key]= believe  value= convinced
Duplicate : 腿  map[key]= leg  value= legs
Duplicate : 弗雷澤  map[key]= frasier  value= fraser
Duplicate : 嬰兒  map[key]= baby  value= babies
Duplicate : 攜帶  map[key]= carry  value= carrying
Duplicate : 飛行  map[key]= flight  value= flying
Duplicate : 恨  map[key]= hate  value= hates
Duplicate : 怪物  map[key]= freak  value= monster
Duplicate : 希望  map[key]= hope  value= wanting
Duplicate : 購買  map[key]= buy  value= buying
Duplicate : 故事  map[key]= story  value= stories
Duplicate : 明星  map[key]= star  value= stars
Duplicate : 現實  map[key]= real  value= reality
Duplicate : 賣  map[key]= sell  value= sold
Duplicate : 變化  map[key]= change  value= changes
Duplicate : 啊  map[key]= ah  value= ahh
Duplicate : 結婚  map[key]= marry  value= marrying
Duplicate : 奶奶  map[key]= grandma  value= grandmother
Duplicate : 電視  map[key]= tv  value= television
Duplicate : 記錄  map[key]= record  value= records
Duplicate : 能  map[key]= able  value= capable
Duplicate : 號碼  map[key]= number  value= numbers
Duplicate : 幾乎  map[key]= almost  value= practically
Duplicate : 約會  map[key]= dating  value= appointment
Duplicate : 值得  map[key]= worth  value= deserves
Duplicate : 以上  map[key]= over  value= above
Duplicate : 邀請  map[key]= invited  value= invite
Duplicate : 射擊  map[key]= shoot  value= shooting
Duplicate : 成長  map[key]= grow  value= growing
Duplicate : 考慮  map[key]= consider  value= considering
Duplicate : 推  map[key]= push  value= pushed
Duplicate : 尼古拉斯  map[key]= nikolas  value= nicholas
Duplicate : 熱  map[key]= hot  value= heat
Duplicate : 最大  map[key]= max  value= greatest
Duplicate : 成為  map[key]= become  value= became
Duplicate : 機會  map[key]= chance  value= chances
Duplicate : 健康  map[key]= health  value= healthy
Duplicate : 線  map[key]= line2  value= lines
Duplicate : 治療  map[key]= treat  value= treated
Duplicate : 聖  map[key]= st.  value= san
Duplicate : 慘  map[key]= miserable  value= badly
Duplicate : 糖果  map[key]= eetie  value= candy
Duplicate : 警告  map[key]= warning  value= warn
Duplicate : 手術  map[key]= surgery  value= operation
Duplicate : 提供  map[key]= offer  value= offered
Duplicate : 結束  map[key]= end  value= ends
Duplicate : 記得  map[key]= remember  value= remembered
Duplicate : 計劃  map[key]= plan  value= program
Duplicate : 呼吸  map[key]= breathe  value= breathing
Duplicate : 笑  map[key]= laugh  value= laughing
Duplicate : 事  map[key]= thing  value= affair
Duplicate : 我們的  map[key]= our  value= ours
Duplicate : 保護  map[key]= protect  value= protecting
Duplicate : 大  map[key]= big  value= large
Duplicate : 訪問  map[key]= visit  value= interview
Duplicate : 手指  map[key]= finger  value= fingers
Duplicate : 謀殺  map[key]= murder  value= murdered
Duplicate : 說明  map[key]= explain  value= explanation
Duplicate : 選擇  map[key]= choice  value= picking
Duplicate : 根據  map[key]= according  value= based
Duplicate : 強  map[key]= strong  value= stronger
Duplicate : 驚人  map[key]= amazing  value= unbelievable
Duplicate : 幾乎  map[key]= almost  value= nearly
Duplicate : 汽車  map[key]= car  value= cars
Duplicate : 哪裡  map[key]= where  value= wherever
Duplicate : 服務  map[key]= service  value= serve
Duplicate : 拉  map[key]= pull  value= pulling
Duplicate : 點  map[key]= point  value= points
Duplicate : 藥  map[key]= drug  value= medicine
Duplicate : 事實  map[key]= fact  value= facts
Duplicate : 等待  map[key]= wait  value= waited
Duplicate : 情況  map[key]= situation  value= circumstances
Duplicate : 信任  map[key]= trust  value= trusted
Duplicate : 沒什麼  map[key]= nothing  value= nothin
Duplicate : 垃圾  map[key]= waste  value= trash
Duplicate : 威脅  map[key]= threat  value= threatened
Duplicate : 肖恩  map[key]= shawn  value= sean
Duplicate : 了解  map[key]= understand  value= understood
Duplicate : 合同  map[key]= deal  value= contract
Duplicate : 問題  map[key]= problem  value= issues
Duplicate : 垃圾  map[key]= waste  value= garbage
Duplicate : 耳朵  map[key]= ear  value= ears
Duplicate : 小  map[key]= little  value= tiny
Duplicate : 特別  map[key]= special  value= particular
Duplicate : 感動  map[key]= moved  value= touched
Duplicate : 消失  map[key]= disappeared  value= disappear
Duplicate : 準確  map[key]= exactly  value= exact
Duplicate : 踢  map[key]= kick  value= kicked
Duplicate : 最近  map[key]= lately  value= recently
Duplicate : 幸運  map[key]= lucky  value= fortune
Duplicate : 假裝  map[key]= pretend  value= pretending
Duplicate : 狗  map[key]= dog  value= dogs
Duplicate : 醒來  map[key]= wake  value= woke
Duplicate : 病人  map[key]= patient  value= patients
Duplicate : 麗莎  map[key]= liza  value= lisa
Duplicate : 訪問  map[key]= visit  value= access
Duplicate : 看著  map[key]= looked  value= watched
Duplicate : 承諾  map[key]= promise  value= committed
Duplicate : 電梯  map[key]= lift  value= elevator
Duplicate : 存在  map[key]= being  value= exist
Duplicate : 對  map[key]= couple  value= pair
Duplicate : 吮吸  map[key]= suck  value= sucks
Duplicate : 允許  map[key]= allow  value= permission
Duplicate : 到達  map[key]= reach  value= arrived
Duplicate : 吃  map[key]= eat  value= ate
Duplicate : 事件  map[key]= happening  value= event
Duplicate : 門  map[key]= door  value= doors
Duplicate : 視力  map[key]= sight  value= vision
Duplicate : 戰鬥  map[key]= fight  value= battle
Duplicate : 安全  map[key]= safe  value= safety
Duplicate : 混蛋  map[key]= bastard  value= asshole
Duplicate : 憤怒  map[key]= angry  value= anger
Duplicate : 保護  map[key]= protect  value= protection
Duplicate : 家庭  map[key]= family  value= families
Duplicate : 選擇  map[key]= choice  value= chose
Duplicate : 讓  map[key]= let  value= lets
Duplicate : 誰  map[key]= who  value= whom
Duplicate : 學生  map[key]= student  value= students
Duplicate : 死亡  map[key]= death  value= dies
Duplicate : 惡魔  map[key]= demon  value= demons
Duplicate : 成長  map[key]= grow  value= grew
Duplicate : 留  map[key]= stay  value= remain
Duplicate : 種  map[key]= kind  value= kinds
Duplicate : 隱藏  map[key]= hide  value= buried
Duplicate : 信息  map[key]= message  value= messages
Duplicate : 有罪  map[key]= guilty  value= guilt
Duplicate : 武器  map[key]= weapon  value= weapons
Duplicate : 會議  map[key]= meeting  value= conference
Duplicate : 治療  map[key]= treat  value= treatment
Duplicate : 訂婚  map[key]= engaged  value= engagement
Duplicate : 治療  map[key]= treat  value= therapy
Duplicate : 信  map[key]= letter  value= letters
Duplicate : 運行  map[key]= run  value= runs
Duplicate : 哎呀  map[key]= gee  value= jeez
Duplicate : 決定  map[key]= decided  value= decisions
Duplicate : 高興  map[key]= happy  value= thrilled
Duplicate : 社會  map[key]= social  value= society
Duplicate : 管理  map[key]= manage  value= managed
Duplicate : 賭注  map[key]= bet  value= stake
Duplicate : 廚師  map[key]= cook  value= chef
Duplicate : 移動  map[key]= moving  value= moves
Duplicate : 完全  map[key]= totally  value= entirely
Duplicate : 鏡頭  map[key]= shot  value= shots
Duplicate : 板  map[key]= board  value= plate
Duplicate : 包  map[key]= bag  value= package
Duplicate : 鋪設  map[key]= lay  value= laid
Duplicate : 動物  map[key]= animal  value= animals
Duplicate : 成為  map[key]= become  value= becoming
Duplicate : 可怕  map[key]= terrible  value= terribly
Duplicate : 容易  map[key]= likely  value= easily
Duplicate : 該死  map[key]= goddamn  value= damned
Duplicate : 討厭  map[key]= nasty  value= disgusting
Duplicate : 停車  map[key]= parking  value= stopping
Duplicate : 幫助  map[key]= helped  value= helps
Duplicate : 酒吧  map[key]= bar  value= bars
Duplicate : 尷尬  map[key]= embarrassed  value= embarrassing
Duplicate : 情人  map[key]= sweetheart  value= lover
Duplicate : 門  map[key]= door  value= gate
Duplicate : 金  map[key]= gold  value= kim
Duplicate : 幻想  map[key]= fancy  value= fantasy
Duplicate : 球  map[key]= ball  value= balls
Duplicate : 攻擊  map[key]= attack  value= attacked
Duplicate : 禮物  map[key]= gift  value= presents
Duplicate : 爭論  map[key]= argue  value= argument
Duplicate : 說話  map[key]= speak  value= talkin
Duplicate : 戰鬥  map[key]= fight  value= fought
Duplicate : 解決  map[key]= settle  value= solve
Duplicate : 希望  map[key]= hope  value= hopefully
Duplicate : 松  map[key]= loose  value= pine
Duplicate : 街頭  map[key]= street  value= streets
Duplicate : 享受  map[key]= enjoy  value= enjoying
Duplicate : 錯誤  map[key]= mistake  value= bug
Duplicate : 準備  map[key]= ready  value= prepare
Duplicate : 跡象  map[key]= sign  value= signs
Duplicate : 痛苦  map[key]= suffering  value= painful
Duplicate : 自己  map[key]= own  value= yourselves
Duplicate : 心  map[key]= mind  value= hearts
Duplicate : 警告  map[key]= warning  value= warned
Duplicate : 遺憾  map[key]= sorry  value= pity
Duplicate : 線索  map[key]= clue  value= leads
Duplicate : 她的  map[key]= her  value= hers
Duplicate : 角色  map[key]= character  value= role
Duplicate : 爺爺  map[key]= grandfather  value= grandpa
Duplicate : 通過  map[key]= through  value= passing
Duplicate : 選擇  map[key]= choice  value= choices
Duplicate : 案件  map[key]= case  value= cases
Duplicate : 公司  map[key]= company  value= firm
Duplicate : 日期  map[key]= date  value= dates
Duplicate : 提醒  map[key]= remind  value= reminds
Duplicate : 創建  map[key]= create  value= created
Duplicate : 成功  map[key]= success  value= successful
Duplicate : 考慮  map[key]= consider  value= considered
Duplicate : 承諾  map[key]= promise  value= commitment
Duplicate : 生病  map[key]= sick  value= ill
Duplicate : 錢包  map[key]= purse  value= wallet
Duplicate : 發現  map[key]= find  value= discovered
Duplicate : 黨  map[key]= party  value= gang
Duplicate : 到達  map[key]= reach  value= reached
Duplicate : 選項  map[key]= options  value= option
Duplicate : 前  map[key]= before  value= former
Duplicate : 保證  map[key]= guarantee  value= assure
Duplicate : 入住  map[key]= staying  value= stays
Duplicate : 失敗  map[key]= failed  value= fail
Duplicate : 學習  map[key]= learn  value= learning
Duplicate : 討論  map[key]= discuss  value= discussion
Duplicate : 兄弟  map[key]= brothers  value= bro
Duplicate : 成員  map[key]= member  value= members
Duplicate : 低  map[key]= low  value= lower
Duplicate : 無聊  map[key]= boring  value= bored
Duplicate : 處理  map[key]= handle  value= handled
Duplicate : 幸福  map[key]= happiness  value= happier
Duplicate : 研究  map[key]= study  value= studying
Duplicate : 浪漫  map[key]= romantic  value= romance
Duplicate : 部分  map[key]= part  value= section
Duplicate : 承諾  map[key]= promise  value= commit
Duplicate : 結束  map[key]= end  value= ending
Duplicate : 正確  map[key]= correct  value= proper
Duplicate : 相信  map[key]= believe  value= believes
Duplicate : 希望  map[key]= hope  value= hopes
Duplicate : 賣  map[key]= sell  value= sale
Duplicate : 律師  map[key]= lawyer  value= lawyers
Duplicate : 也不  map[key]= neither  value= nor
Duplicate : 燒傷  map[key]= burn  value= burns
Duplicate : 落下  map[key]= falling  value= dropping
Duplicate : 肉  map[key]= meat  value= flesh
Duplicate : 心理  map[key]= mental  value= psycho
Duplicate : 手  map[key]= hand  value= handed
Duplicate : 假  map[key]= fake  value= false
Duplicate : 保證  map[key]= guarantee  value= warrant
Duplicate : 可能性  map[key]= possibility  value= odds
Duplicate : 治療  map[key]= treat  value= treating
Duplicate : 要求  map[key]= claim  value= request
Duplicate : 嘗試  map[key]= trying  value= tries
Duplicate : 聯盟  map[key]= league  value= union
Duplicate : 共享  map[key]= shared  value= sharing
Duplicate : 假設  map[key]= suppose  value= assuming
Duplicate : 離婚  map[key]= divorce  value= divorced
Duplicate : 步驟  map[key]= procedure  value= steps
Duplicate : 承認  map[key]= admit  value= confess
Duplicate : 山  map[key]= hill  value= mountain
Duplicate : 聽  map[key]= listen  value= listened
Duplicate : 大腦  map[key]= brain  value= brains
Duplicate : 機構  map[key]= bodies  value= agency
Duplicate : 搶  map[key]= grab  value= rob
Duplicate : 覆蓋  map[key]= covered  value= covering
Duplicate : 嚴重  map[key]= serious  value= grave
Duplicate : 雞蛋  map[key]= eggs  value= egg
Duplicate : 休息  map[key]= rest  value= breaks
Duplicate : 牌  map[key]= cards  value= brand
Duplicate : 尷尬  map[key]= embarrassed  value= awkward
Duplicate : 打  map[key]= hitting  value= dozen
Duplicate : 百萬  map[key]= million  value= millions
Duplicate : 關閉  map[key]= shut  value= closing
Duplicate : 吸血鬼  map[key]= vampire  value= vampires
Duplicate : 發布  map[key]= release  value= released
Duplicate : 穿著  map[key]= wearing  value= wore
Duplicate : 現場  map[key]= scene  value= site
Duplicate : 安全  map[key]= safe  value= secure
Duplicate : 犯罪  map[key]= crime  value= offense
Duplicate : 承認  map[key]= admit  value= admitted
Duplicate : 微笑  map[key]= smile  value= smiling
Duplicate : 命運  map[key]= fate  value= destiny
Duplicate : 懷孕  map[key]= pregnant  value= pregnancy
Duplicate : 聯合  map[key]= joint  value= co
Duplicate : 線  map[key]= line2  value= wire
Duplicate : 存在  map[key]= being  value= presence
Duplicate : 急  map[key]= emergency  value= anxious
Duplicate : 米奇  map[key]= mitch  value= mickey
Duplicate : 假期  map[key]= vacation  value= holidays
Duplicate : 蘋果  map[key]= mac  value= apple
Duplicate : 跳躍  map[key]= skip  value= jumping
Duplicate : 笑話  map[key]= joke  value= jokes
Duplicate : 機會  map[key]= chance  value= occasion
Duplicate : 廢話  map[key]= bullshit  value= nonsense
Duplicate : 吹  map[key]= blown  value= blowing
Duplicate : 會議  map[key]= meeting  value= session
Duplicate : 關係  map[key]= relationship  value= relationships
Duplicate : 綁架  map[key]= kidnapped  value= kidnapping
Duplicate : 包  map[key]= bag  value= wrap
Duplicate : 樹  map[key]= tree  value= trees
Duplicate : 銀行  map[key]= bank  value= banks
Duplicate : 每  map[key]= each  value= per
Duplicate : 競賽  map[key]= race  value= contest
Duplicate : 相信  map[key]= believe  value= believing
Duplicate : 尤其  map[key]= especially  value= particularly
Duplicate : 小心  map[key]= careful  value= carefully
Duplicate : 享受  map[key]= enjoy  value= enjoyed
Duplicate : 出現  map[key]= appear  value= appears
Duplicate : 嘗試  map[key]= trying  value= attempt
Duplicate : 播放  map[key]= playing  value= plays
Duplicate : 常  map[key]= often  value= normally
Duplicate : 兒子  map[key]= son  value= sons
Duplicate : 克里斯汀  map[key]= christine  value= kristen
Duplicate : 清理  map[key]= cleared  value= cleaned
Duplicate : 扎克  map[key]= zack  value= zach
Duplicate : 威脅  map[key]= threat  value= threaten
Duplicate : 運動  map[key]= campaign  value= motion
Duplicate : 傢伙  map[key]= guy  value= fella
Duplicate : 敵人  map[key]= enemy  value= enemies
Duplicate : 集  map[key]= set  value= collection
Duplicate : 事件  map[key]= happening  value= incident
Duplicate : 失敗  map[key]= failed  value= failure
Duplicate : 滿意  map[key]= pleased  value= satisfied
Duplicate : 遺忘  map[key]= forgotten  value= forgetting
Duplicate : 行動  map[key]= action  value= acted
Duplicate : 訪問  map[key]= visit  value= visiting
Duplicate : 自然  map[key]= natural  value= naturally
Duplicate : 接受  map[key]= accept  value= received
Duplicate : 服裝  map[key]= dress  value= costume
Duplicate : 區  map[key]= district  value= zone
Duplicate : 踢  map[key]= kick  value= kicking
Duplicate : 法國  map[key]= french  value= france
Duplicate : 了解  map[key]= understand  value= understands
Duplicate : 客戶  map[key]= client  value= clients
Duplicate : 影響  map[key]= influence  value= affect
Duplicate : 討論  map[key]= discuss  value= discussing
Duplicate : 陌生人  map[key]= stranger  value= strangers
Duplicate : 領導  map[key]= lead  value= leading
Duplicate : 廣告  map[key]= ad  value= commercial
Duplicate : 疑問  map[key]= doubt  value= questioning
Duplicate : 拖  map[key]= drag  value= dragged
Duplicate : 深  map[key]= deep  value= deeply
Duplicate : 放  map[key]= put  value= amp
Duplicate : 浪費  map[key]= wasting  value= wasted
Duplicate : 緊張  map[key]= nervous  value= tense
Duplicate : 體育  map[key]= sports  value= sport
Duplicate : 報告  map[key]= report  value= reports
Duplicate : 希望  map[key]= hope  value= hoped
Duplicate : 迷人  map[key]= charming  value= fascinating
Duplicate : 選擇  map[key]= choice  value= chosen
Duplicate : 站  map[key]= stand  value= stops
Duplicate : 交付  map[key]= deliver  value= delivered
Duplicate : 變  map[key]= changed  value= becomes
Duplicate : 安排  map[key]= arranged  value= arrangements
Duplicate : 狩獵  map[key]= hunt  value= hunting
Duplicate : 開始  map[key]= start  value= began
Duplicate : 建議  map[key]= suggest  value= propose
Duplicate : 誠實  map[key]= honest  value= honesty
Duplicate : 服務  map[key]= service  value= services
Duplicate : 承諾  map[key]= promise  value= promises
Duplicate : 演講  map[key]= speech  value= lecture
Duplicate : 備用  map[key]= spare  value= backup
Duplicate : 不同  map[key]= different  value= differently
Duplicate : 菲比  map[key]= phoebe  value= pheebs
Duplicate : 電話  map[key]= phone  value= telephone
Duplicate : 照片  map[key]= photo  value= photos
Duplicate : 打印  map[key]= print  value= prints
Duplicate : 花  map[key]= spend  value= flower
Duplicate : 你  map[key]= you  value= thee
Duplicate : 爭論  map[key]= argue  value= arguing
Duplicate : 法律  map[key]= law  value= laws
Duplicate : 人物  map[key]= figure  value= figures
Duplicate : 要求  map[key]= claim  value= asks
Duplicate : 哎呀  map[key]= gee  value= oops
Duplicate : 目標  map[key]= target  value= goal
Duplicate : 塊  map[key]= block  value= mass
Duplicate : 演出  map[key]= show  value= gig
Duplicate : 客戶  map[key]= client  value= customers
Duplicate : 計數  map[key]= counting  value= counts
Duplicate : 行動  map[key]= action  value= actions
Duplicate : 處理  map[key]= handle  value= handling
Duplicate : 吃  map[key]= eat  value= eaten
Duplicate : 稅  map[key]= duty  value= tax
Duplicate : 護士  map[key]= nurse  value= nurses
Duplicate : 忠誠  map[key]= loyal  value= loyalty
Duplicate : 事件  map[key]= happening  value= events
Duplicate : 蠟燭  map[key]= candles  value= candle
Duplicate : 藉口  map[key]= excuse  value= excuses
Duplicate : 城堡  map[key]= alcazar  value= castle
Duplicate : 威脅  map[key]= threat  value= threats
Duplicate : 祈禱  map[key]= pray  value= praying
Duplicate : 昏迷  map[key]= coma  value= unconscious
Duplicate : 軌道  map[key]= track  value= tracks
Duplicate : 神秘  map[key]= mystery  value= mysterious
Duplicate : 自由  map[key]= freedom  value= liberty
Duplicate : 造成  map[key]= caused  value= causing
Duplicate : 自我  map[key]= self  value= ego
Duplicate : 向前  map[key]= ahead  value= forth
Duplicate : 面對  map[key]= face  value= facing
Duplicate : 噓  map[key]= uhh  value= boo
Duplicate : 演出  map[key]= show  value= perform
Duplicate : 挖  map[key]= dig  value= digging
Duplicate : 爬行  map[key]= creep  value= creepy
Duplicate : 想知道  map[key]= wondering  value= wondered
Duplicate : 線索  map[key]= clue  value= trail
